cntr_id,cust_id,status,season,product_code,date_issued,amount,amount_usd,date_planted,date_planted_imp,date_planted_in,loc_id,payout,payout_usd,mm_paid
22900,776,paid out,Y2019S1,MAIZ-GHA-20-ST01,2016-04-28,18,3.399138,,2019-01-27,2019-01-27,348,27,5.098707,
20958,237,paid out,Y2019S1,MAIZ-GHA-20-ST01,2016-05-03,18,3.399138,2019-04-03,,2019-04-03,583,,,
22380,2222,expired,Y2019S1,GROU-GHA-20-ST01,2016-05-05,5,0.944205,2019-07-30,2019-07-30,2019-07-30,1625,0,0,
22240,1891,expired,Y2019S1,GROU-GHA-20-ST01,2016-07-05,5,0.944205,,2019-06-24,2019-06-24,1845,0,0,
22251,1903,expired,Y2019S1,GROU-GHA-20-ST01,2016-07-05,3,0.566523,,2019-05-07,2019-05-07,1845,0,0,
22250,1901,expired,Y2019S1,GROU-GHA-20-ST01,2016-07-05,2,0.377682,,2019-06-06,2019-06-06,1845,0,0,
22262,1918,paid out,Y2019S1,GROU-GHA-20-ST01,2016-07-05,5,0.944205,,2019-02-01,2019-02-01,1845,8,1.510728,
16945,776,expired,Y2019S1,MAIZ-GHA-20-ST01,2017-02-24,18,3.399138,,2019-03-28,2019-03-28,348,0,0,
48952,29143,paid out (in part),Y2019S1,MAIZ-GHA-20-ST01,2017-11-17,5,0.944205,2019-05-22,2019-05-22,2019-09-26,1447,12,2.266092,FALSE
48915,328,expired,Y2019S1,MAIZ-GHA-20-ST01,2018-01-19,10,1.88841,2019-07-19,2019-07-19,2019-07-24,1623,0,0,
44033,201973,expired,Y2019S1,GROU-GHA-20-ST01,2018-06-05,5,0.944205,2019-06-30,2019-06-30,2019-08-29,2069,0,0,
44032,201974,expired,Y2019S1,MAIZ-GHA-20-ST01,2018-06-05,5,0.944205,2019-07-06,2019-07-06,2019-08-29,2069,0,0,
44031,201971,expired,Y2019S1,MAIZ-GHA-20-ST01,2018-06-05,35,6.609435,2019-07-07,2019-07-07,2019-08-29,2069,0,0,
44030,201973,expired,Y2019S1,MAIZ-GHA-20-ST01,2018-06-05,5,0.944205,2019-07-13,2019-07-13,2019-08-29,2069,0,0,
44034,201975,expired,Y2019S1,MAIZ-GHA-20-ST01,2018-06-05,5,0.944205,2019-07-14,2019-07-14,2019-08-29,2069,0,0,
43952,39737,expired,Y2019S1,MAIZ-GHA-20-ST01,2018-06-14,10,1.88841,2019-07-02,2019-07-02,2019-08-29,2069,0,0,
43953,201737,paid out,Y2019S1,SORG-GHA-20-ST01,2018-06-14,15,2.832615,2019-07-02,2019-07-02,2019-08-29,2069,22,4.154502,TRUE
43951,201736,expired,Y2019S1,MAIZ-GHA-20-ST01,2018-06-14,20,3.77682,2019-07-07,2019-07-07,2019-08-29,2069,0,0,
43956,185634,expired,Y2019S1,MAIZ-GHA-20-ST01,2018-06-14,15,2.832615,2019-07-10,2019-07-10,2019-08-29,2069,0,0,
43955,185626,expired,Y2019S1,GROU-GHA-20-ST01,2018-06-14,5,0.944205,2019-07-14,2019-07-14,2019-08-29,2069,0,0,
