cust_id,cntr_id,weight,strata,treatment,caller,date_called,call_status,planted_acres,yield_bags,fert_bags,yield_rate,yield_lost,reason,yield_max_bags,sold_bags,sold_price,notes,call_count
202802,50339,0.5,1,grp_msg,Hurmat,2019-12-31,connected,3,6,8,very poor,3/4,drought before flowering,45,6,130,"Four days after the fertilizer application, the rain stopped  , so the maize could not grow well.",216
206328,49794,0.1530054645,2,grp_none,Hurmat,2019-12-31,connected,3,,0,good,none,other,20,0,0,"I am still harvesting, so i can't tell the number of bags i will get. But the rainfall was good",95
206340,49809,0.1530054645,2,grp_none,Hurmat,2019-12-24,failed,,,,"","","",,,,"",11
206378,49919,0.1530054645,2,grp_none,Hurmat,2019-12-24,connected,,1.5,0,good,none,other,6,0,0,For feeding,1
205665,47411,0.1530054645,2,grp_none,Hurmat,2019-12-31,connected,2,8,0,average,1/2,other,18,5,110,"",2
205154,49881,0.1530054645,2,grp_none,Hurmat,2019-12-24,connected,3,4.5,9,very poor,all,excess rain,45,2,120,"",
202895,49354,0.1530054645,2,grp_none,Hurmat,2019-12-24,connected,4,12,7,poor,3/4,excess rain,64,10,100,"The farm is closer to a river, so when it rains a lot, it affects the maize",
204475,48820,0.1530054645,2,grp_none,Hurmat,2019-12-24,connected,2.5,9,3,poor,1/2,other,20,9,150,Insufficient fertilizer caused the low yield,
206388,49928,0.1530054645,2,grp_none,Hurmat,2019-12-24,pending,,,,"","","",,,,"",
206405,50014,0.1530054645,2,grp_none,Hurmat,2019-12-24,pending,,,,"","","",,,,"",
206374,49911,0.1530054645,2,grp_none,Hurmat,2019-12-24,connected,15,25,30,very poor,2/3,drought after flowering,75,7,110,"The yield lost was as a result of drought, pest and insufficient fertilizer",
203601,50114,0.1530054645,2,grp_none,Hurmat,2019-12-24,connected,6,11,6,very good,2/3,drought after flowering,37,9,100,"It rains in the town but does not reach the farm, so  the crops couldn't grow well due to drought",
206782,50335,0.1530054645,2,grp_none,Hurmat,2019-12-24,connected,10,15,12,very poor,2/3,drought after flowering,45,10,110,"",
