loc_id,loc_nm,date_reg,cust_N,visit_N,is_female,channel_zm,amount_usd,ca_nm,iso3,country,reg_nm,dist_id,dist_nm,X,Y
248,Bakuya,1970-01-01T05:04:02Z,,,,,282.317295,,GH(N),Ghana,GH-NP,2,Bunkpurugu Yonyo,-0.077195,10.519321
304,Konmmong gberuk,1970-01-01T04:54:42Z,,,,,143.896842,,GH(N),Ghana,GH-NP,2,Bunkpurugu Yonyo,-0.05948,10.59257
1642,Kunfuri,1970-01-01T04:54:07Z,,,,,281.37309,,GH(N),Ghana,GH-NP,2,Bunkpurugu Yonyo,-0.08675,10.47846
1951,Kunkook,1970-01-01T04:53:36Z,,,,,53.630844,,GH(N),Ghana,GH-NP,2,Bunkpurugu Yonyo,-0.06896,10.6271
226,Kunkwadaan,1970-01-01T04:57:48Z,,,,,344.445984,,GH(N),Ghana,GH-NP,2,Bunkpurugu Yonyo,-0.04947,10.62955
2637,Abualirima,1970-01-01T04:56:14Z,,,,,188.085636,,GH(N),Ghana,GH-NP,3,Central Gonja,-1.041493,9.109848
2094,Aduyili,1970-01-01T05:01:49Z,,,,,20.205987,,GH(N),Ghana,GH-NP,3,Central Gonja,-1.021644,9.31271
351,Bag-Kura,1970-01-01T04:54:20Z,,,,,6.231753,,GH(N),Ghana,GH-NP,3,Central Gonja,-1.11568,9.085763
545,Janikura,1970-01-01T04:57:38Z,,,,,18.506418,,GH(N),Ghana,GH-NP,3,Central Gonja,-1.29556,9.130352
2467,Jukuku,1970-01-01T05:04:09Z,,,,,254.557668,,GH(N),Ghana,GH-NP,3,Central Gonja,-1.020787,9.140628
143,Kpatinyeng,1970-01-01T04:56:14Z,,,,,74.214513,,GH(N),Ghana,GH-NP,3,Central Gonja,-0.962188,9.193607
538,Kulbongduli,1970-01-01T04:58:07Z,,,,,76.858287,,GH(N),Ghana,GH-NP,3,Central Gonja,-1.20532,9.073302
3914,Kurubang yili,1970-01-01T04:54:03Z,,,,,10.763937,,GH(N),Ghana,GH-NP,3,Central Gonja,-0.948812,9.286062
4002,Lesseinipe,1970-01-01T04:54:47Z,,,,,74.592195,,GH(N),Ghana,GH-NP,3,Central Gonja,-1.24403,9.1641
415,Malgu-Naa Kura,1970-01-01T04:57:28Z,,,,,4.154502,,GH(N),Ghana,GH-NP,3,Central Gonja,-1.309073,9.132023
2820,Ntereso,1970-01-01T04:59:09Z,,,,,43.811112,,GH(N),Ghana,GH-NP,3,Central Gonja,-1.205985,9.129283
1140,Nyangwuripe,1970-01-01T04:55:26Z,,,,,146.351775,,GH(N),Ghana,GH-NP,3,Central Gonja,-0.845782,9.31558
1821,Sankunyili,1970-01-01T04:54:10Z,,,,,9.064368,,GH(N),Ghana,GH-NP,3,Central Gonja,-1.060275,9.237445
1544,Wupekura,1970-01-01T04:59:12Z,,,,,21.150192,,GH(N),Ghana,GH-NP,3,Central Gonja,-0.986303,9.103807
101,Yapei Yipala,1970-01-01T05:02:18Z,,,,,152.394687,,GH(N),Ghana,GH-NP,3,Central Gonja,-1.195878,9.12891
1633,Zong-Kura,1970-01-01T04:59:09Z,,,,,38.712405,,GH(N),Ghana,GH-NP,3,Central Gonja,-1.204445,9.041388
3487,Kwame Nasoni,1970-01-01T04:55:57Z,,,,,22.66092,,GH(N),Ghana,GH-NP,4,Chereponi,-0.17133,10.253375
3549,Mabanbori,1970-01-01T04:55:10Z,,,,,14.351916,,GH(N),Ghana,GH-NP,4,Chereponi,-0.22229,10.02908
3515,Tambo,1970-01-01T04:55:10Z,,,,,33.99138,,GH(N),Ghana,GH-NP,4,Chereponi,-0.173587,10.23473
3524,Upper Nansona,1970-01-01T04:55:09Z,,,,,25.115853,,GH(N),Ghana,GH-NP,4,Chereponi,0.21562,10.18901
914,Chani,1970-01-01T04:58:20Z,,,,,47.399091,,GH(N),Ghana,GH-NP,5,East Gonja,-0.607593,9.335881
4308,Dabogshei,1970-01-01T04:57:56Z,,,,,85.733814,,GH(N),Ghana,GH-NP,5,East Gonja,-0.871342,9.268018
2382,Dabogshei1,1970-01-01T04:46:49Z,,,,,20.77251,,GH(N),Ghana,GH-NP,5,East Gonja,-0.9,9.3
1589,Dakolyili,1970-01-01T04:56:14Z,,,,,97.630797,,GH(N),Ghana,GH-NP,5,East Gonja,-1.07777,9.34041
173,Dakpemyili,1970-01-01T05:00:10Z,,,,,240.205752,,GH(N),Ghana,GH-NP,5,East Gonja,-0.87927,9.30177
1601,Nyamalga Yepala,1970-01-01T04:58:51Z,,,,,32.669493,,GH(N),Ghana,GH-NP,5,East Gonja,-0.66405,9.28764
3147,Nyamaliga,1970-01-01T04:55:02Z,,,,,6.231753,,GH(N),Ghana,GH-NP,5,East Gonja,-0.652757,9.410356
528,Takpili,1970-01-01T04:58:45Z,,,,,115.948374,,GH(N),Ghana,GH-NP,5,East Gonja,-0.578411,9.300931
1619,Tantuani,1970-01-01T04:56:14Z,,,,,107.828211,,GH(N),Ghana,GH-NP,5,East Gonja,-0.67582,9.23366
3343,Test Community GH,1970-01-01T05:00:50Z,,,,,1.321887,,GH(N),Ghana,GH-NP,5,East Gonja,0,0
3007,Banjam,1970-01-01T04:54:48Z,,,,,2.454933,,GH(N),Ghana,GH-NP,6,East Mamprusi,-0.250165,10.443715
3083,Da'azio,1970-01-01T04:54:24Z,,,,,1.321887,,GH(N),Ghana,GH-NP,6,East Mamprusi,-0.52706,10.43143
4602,Gimbale,1970-01-01T04:54:29Z,,,,,98.008479,,GH(N),Ghana,GH-NP,6,East Mamprusi,-0.1324,10.1941
1124,Jawani,1970-01-01T04:57:28Z,,,,,5.287548,,GH(N),Ghana,GH-NP,6,East Mamprusi,-0.52913,10.43216
1871,Kasape Talensi,1970-01-01T04:55:11Z,,,,,16.051485,,GH(N),Ghana,GH-NP,6,East Mamprusi,-0.555789,10.419026
3045,Nagmangu,1970-01-01T04:54:51Z,,,,,14.918439,,GH(N),Ghana,GH-NP,6,East Mamprusi,-0.511933,10.403914
61,Namasi,1970-01-01T04:55:00Z,,,,,20.583669,,GH(N),Ghana,GH-NP,6,East Mamprusi,-0.322623,10.561837
1088,Nameboku,1970-01-01T04:52:55Z,,,,,0.566523,,GH(N),Ghana,GH-NP,6,East Mamprusi,-0.82521,10.555205
3331,Sumnibomah No2,1970-01-01T04:54:54Z,,,,,8.120163,,GH(N),Ghana,GH-NP,6,East Mamprusi,-0.27527,10.39687
1086,Tinsungu,1970-01-01T04:54:24Z,,,,,10.575096,,GH(N),Ghana,GH-NP,6,East Mamprusi,-0.43432,10.47648
3070,Wangagu,1970-01-01T04:54:24Z,,,,,22.283238,,GH(N),Ghana,GH-NP,6,East Mamprusi,-0.20932,10.354653
3174,Yaroyili,1970-01-01T04:55:05Z,,,,,5.66523,,GH(N),Ghana,GH-NP,6,East Mamprusi,-0.59178,10.39756
2000,Yunyoranyiri,1970-01-01T04:54:21Z,,,,,2.454933,,GH(N),Ghana,GH-NP,6,East Mamprusi,-0.32313,10.53328
1101,Zandua,1970-01-01T04:54:24Z,,,,,20.961351,,GH(N),Ghana,GH-NP,6,East Mamprusi,-0.501408,10.476569
2342,Zarantinga,1970-01-01T04:54:29Z,,,,,43.43343,,GH(N),Ghana,GH-NP,6,East Mamprusi,-0.344087,10.556413
1131,Belising,1970-01-01T04:54:31Z,,,,,18.317577,,GH(N),Ghana,GH-NP,7,Gushegu,-0.17452,9.8045
1935,Dayugudigli,1970-01-01T04:54:31Z,,,,,8.309004,,GH(N),Ghana,GH-NP,7,Gushegu,-0.17653,9.78032
820,Digbila,1970-01-01T04:54:08Z,,,,,6.231753,,GH(N),Ghana,GH-NP,7,Gushegu,-0.532513,9.637375
839,Gaa,1970-01-01T04:54:05Z,,,,,56.274618,,GH(N),Ghana,GH-NP,7,Gushegu,-0.445705,9.8074
2903,Kanimo,1970-01-01T04:54:45Z,,,,,47.965614,,GH(N),Ghana,GH-NP,7,Gushegu,-0.152107,9.442023
2354,Kpanashei,1970-01-01T05:00:45Z,,,,,48.532137,,GH(N),Ghana,GH-NP,7,Gushegu,-0.439018,9.542425
1776,Limo,1970-01-01T05:01:28Z,,,,,105.562119,,GH(N),Ghana,GH-NP,7,Gushegu,-0.59573,9.61194
86,Nakunga,1970-01-01T04:54:30Z,,,,,5.66523,,GH(N),Ghana,GH-NP,7,Gushegu,-0.28986,9.74498
2317,Nayugu,1970-01-01T04:54:30Z,,,,,0.944205,,GH(N),Ghana,GH-NP,7,Gushegu,-0.277937,9.820608
3882,Sakpali,1970-01-01T04:55:53Z,,,,,13.21887,,GH(N),Ghana,GH-NP,7,Gushegu,-0.147722,10.043568
859,Samang,1970-01-01T05:00:54Z,,,,,189.218682,,GH(N),Ghana,GH-NP,7,Gushegu,-0.393208,9.806972
1861,Sukaya,1970-01-01T04:54:29Z,,,,,4.721025,,GH(N),Ghana,GH-NP,7,Gushegu,-0.19686,9.72042
3211,Tunaayili-Gushegu,1970-01-01T04:54:28Z,,,,,4.721025,,GH(N),Ghana,GH-NP,7,Gushegu,-0.11082,9.75376
3918,Vinli,1970-01-01T04:57:31Z,,,,,4.343343,,GH(N),Ghana,GH-NP,7,Gushegu,-0.29198,9.83912
